111,Willie Cauley-Stein,39,29,797,101,167,.605,0,0,,101,167,.605,.605,41,70,.586,83,133,216,16,24,45,27,92,243,
112,Mario Chalmers,569,388,15553,1735,4104,.423,694,1934,.359,1041,2170,.480,.507,939,1203,.781,191,1208,1399,2174,848,85,1068,1541,5103,
113,Tyson Chandler,965,762,27512,3122,5302,.589,0,10,.000,3122,5292,.590,.589,2153,3339,.645,3067,5875,8942,820,540,1237,1442,2840,8397,
114,Wilson Chandler,445,343,13833,2368,5356,.442,580,1709,.339,1788,3647,.490,.496,782,1007,.777,502,1854,2356,784,335,312,645,1277,6098,
115,Will Cherry,8,0,69,5,19,.263,2,9,.222,3,10,.300,.316,3,6,.500,1,4,5,8,6,1,4,10,15,
116,Josh Childress,391,70,10432,1343,2571,.522,99,301,.329,1244,2270,.548,.542,763,980,.779,732,1118,1850,609,339,184,439,725,3548,
117,Dionte Christmas,31,0,198,22,62,.355,9,31,.290,13,31,.419,.427,18,24,.750,13,25,38,8,2,3,6,19,71,
118,Patrick Christopher,4,1,29,3,12,.250,0,4,.000,3,8,.375,.250,0,0,,2,4,6,0,1,0,1,6,6,
119,Earl Clark,261,54,3630,453,1125,.403,82,250,.328,371,875,.424,.439,150,226,.664,195,583,778,134,83,136,175,323,1138,
120,Ian Clark,96,1,775,115,275,.418,46,122,.377,69,153,.451,.502,33,37,.892,16,64,80,72,28,15,54,82,309,
121,Jordan Clarkson,112,91,3189,588,1313,.448,93,280,.332,495,1033,.479,.483,248,306,.810,117,281,398,341,109,19,193,226,1517,
122,Victor Claver,80,16,1072,100,251,.398,34,116,.293,66,135,.489,.466,24,41,.585,43,135,178,56,30,16,58,103,258,
123,Norris Cole,337,50,7602,939,2302,.408,195,606,.322,744,1696,.439,.450,260,354,.734,76,576,652,913,263,33,492,636,2333,
124,Darren Collison,469,303,13708,2161,4638,.466,353,958,.368,1808,3680,.491,.504,1182,1391,.850,226,1031,1257,2273,518,70,1010,773,5857,
125,Nick Collison,859,175,18220,2172,4079,.532,21,100,.210,2151,3979,.541,.535,902,1240,.727,1736,2867,4603,904,441,465,849,2458,5267,
126,Mike Conley,628,599,20411,3108,7069,.440,723,1938,.373,2385,5131,.465,.491,1538,1906,.807,264,1533,1797,3522,953,116,1268,1260,8477,
127,Pat Connaughton,21,0,59,4,21,.190,2,10,.200,2,11,.182,.238,2,2,1.000,5,9,14,3,2,0,6,3,12,
128,Brian Cook,421,74,5649,915,2083,.439,262,686,.382,653,1397,.467,.502,220,281,.783,308,807,1115,252,135,134,252,789,2312,
129,Daequan Cook,328,49,5993,758,2056,.369,442,1232,.359,316,824,.383,.476,156,192,.813,75,628,703,243,120,48,177,478,2114,
130,Jack Cooley,16,0,87,9,22,.409,0,0,,9,22,.409,.409,9,21,.429,10,15,25,1,6,3,3,23,27,
131,Chris Copeland,171,26,2111,366,858,.427,154,422,.365,212,436,.486,.516,112,149,.752,65,207,272,107,32,30,129,237,998,
132,Bryce Cotton,18,0,192,31,77,.403,7,23,.304,24,54,.444,.448,15,18,.833,3,15,18,18,7,0,17,8,84,
133,DeMarcus Cousins,394,372,12366,2852,6197,.460,63,218,.289,2789,5979,.466,.465,2030,2782,.730,1209,3006,4215,1061,544,449,1332,1533,7797,
134,Marcus Cousin,4,0,18,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,3,3,0,0,1,1,1,4,
135,Robert Covington,121,79,3176,467,1199,.389,265,735,.361,202,464,.435,.500,260,321,.810,107,471,578,167,169,58,234,340,1459,
136,Allen Crabbe,119,17,2172,305,670,.455,108,293,.369,197,377,.523,.536,77,91,.846,25,197,222,108,69,24,67,221,795,
137,Jamal Crawford,1074,430,33240,5773,14082,.410,1882,5403,.348,3891,8679,.448,.477,3245,3769,.861,411,2171,2582,3842,1022,232,2107,1692,16673,
138,Jordan Crawford,257,99,6348,1169,2885,.405,285,932,.306,884,1953,.453,.455,509,615,.828,147,518,665,813,184,20,499,400,3132,
139,Jae Crowder,293,96,6021,769,1809,.425,268,818,.328,501,991,.506,.499,343,446,.769,205,751,956,350,291,91,205,509,2149,
140,Dante Cunningham,482,84,9764,1257,2675,.470,33,129,.256,1224,2546,.481,.476,271,420,.645,597,1230,1827,324,335,253,242,870,2818,
141,Jared Cunningham,80,3,550,56,159,.352,17,55,.309,39,104,.375,.406,52,79,.658,6,41,47,38,19,2,29,68,181,
142,Seth Curry,29,0,274,29,70,.414,14,33,.424,15,37,.405,.514,19,25,.760,3,19,22,19,12,1,12,17,91,
143,Stephen Curry,466,460,16251,3607,7585,.476,1436,3244,.443,2171,4341,.500,.570,1553,1722,.902,320,1666,1986,3195,824,99,1483,1197,10203,
144,Samuel Dalembert,886,694,21646,2810,5393,.521,1,12,.083,2809,5381,.522,.521,1193,1689,.706,2289,4653,6942,465,437,1546,1271,2601,6814,
145,Troy Daniels,79,1,758,130,311,.418,90,213,.423,40,98,.408,.563,15,21,.714,13,60,73,37,12,2,40,73,365,
146,Gigi Datome,55,1,447,77,186,.414,25,79,.316,52,107,.486,.481,9,11,.818,17,58,75,20,8,8,20,35,188,
147,Brandon Davies,78,6,998,109,265,.411,10,44,.227,99,221,.448,.430,58,90,.644,76,116,192,58,42,15,64,151,286,
148,Anthony Davis,245,240,8294,1927,3711,.519,26,103,.252,1901,3608,.527,.523,1112,1427,.779,644,1712,2356,402,322,606,386,610,4992,
149,Ed Davis,407,82,8696,1219,2172,.561,0,1,.000,1219,2171,.561,.561,463,822,.563,928,1678,2606,344,215,394,316,980,2901,
150,Glen Davis,514,121,10865,1614,3611,.447,10,55,.182,1604,3556,.451,.448,873,1247,.700,731,1505,2236,457,357,173,528,1238,4111,
151,Andre Dawkins,4,0,22,1,6,.167,1,6,.167,0,0,,.250,0,0,,0,2,2,1,0,0,1,3,3,
152,Branden Dawson,2,0,13,1,3,.333,0,0,,1,3,.333,.333,0,0,,2,1,3,0,0,1,0,2,2,
153,Eric Dawson,4,0,39,7,12,.583,0,0,,7,12,.583,.583,1,2,.500,5,5,10,0,1,2,3,6,15,
154,Austin Daye,293,29,4132,567,1410,.402,188,535,.351,379,875,.433,.469,200,257,.778,143,621,764,212,116,117,204,480,1522,
155,Nando De Colo,119,9,1414,169,394,.429,49,135,.363,120,259,.463,.491,66,79,.835,37,174,211,203,63,12,116,135,453,
156,Dewayne Dedmon,123,25,1579,165,320,.516,0,1,.000,165,319,.517,.516,82,133,.617,185,341,526,20,33,99,84,267,412,
157,Bryce Dejean-Jones,11,8,219,24,56,.429,10,26,.385,14,30,.467,.518,11,21,.524,8,31,39,12,9,1,7,12,69,
158,Sam Dekker,3,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,1,0,0,0,0,
159,Carlos Delfino,507,170,11580,1472,3669,.401,678,1856,.365,794,1813,.438,.494,493,650,.758,287,1528,1815,887,461,88,509,827,4115,
160,Matthew Dellavedova,185,28,3863,371,929,.399,189,470,.402,182,459,.397,.501,104,127,.819,93,270,363,613,91,12,192,379,1035,
161,Luol Deng,795,748,28094,4742,10375,.457,562,1674,.336,4180,8701,.480,.484,2306,2986,.772,1318,3554,4872,1878,783,403,1363,1364,12352,
162,DeMar DeRozan,495,483,16730,3148,7118,.442,189,676,.280,2959,6442,.459,.456,2340,2851,.821,362,1553,1915,1270,464,147,912,1157,8825,
163,Yakhouba Diawara,187,56,2614,233,653,.357,122,405,.301,111,248,.448,.450,67,103,.650,77,181,258,122,52,16,72,276,655,
164,Boris Diaw,968,528,27103,3601,7279,.495,451,1316,.343,3150,5963,.528,.526,1014,1417,.716,1198,3219,4417,3469,624,493,1776,2159,8667,
165,Gorgui Dieng,187,75,4390,561,1092,.514,4,16,.250,557,1076,.518,.516,376,491,.766,430,860,1290,272,160,228,282,440,1502,
166,Spencer Dinwiddie,43,1,566,65,204,.319,13,72,.181,52,132,.394,.350,42,53,.792,4,53,57,117,21,6,38,69,185,
167,Ike Diogu,225,18,2795,488,958,.509,1,2,.500,487,956,.509,.510,371,472,.786,275,414,689,69,36,65,200,425,1348,
168,Joey Dorsey,130,26,1488,142,266,.534,0,1,.000,142,265,.536,.534,60,160,.375,198,315,513,55,67,44,86,256,344,
169,Chris Douglas-Roberts,222,61,4381,574,1309,.439,84,255,.329,490,1054,.465,.471,339,408,.831,83,389,472,254,128,55,200,287,1571,
170,Toney Douglas,340,47,6315,930,2297,.405,386,1084,.356,544,1213,.448,.489,295,360,.819,184,523,707,733,294,21,344,649,2541,
171,Goran Dragic,546,310,14466,2453,5224,.470,558,1554,.359,1895,3670,.516,.523,1201,1606,.748,397,1091,1488,2504,560,103,1179,1233,6665,
172,Zoran Dragic,16,1,75,11,30,.367,3,14,.214,8,16,.500,.417,3,5,.600,5,3,8,5,2,0,5,6,28,
173,Larry Drew II,12,1,219,20,58,.345,4,26,.154,16,32,.500,.379,2,3,.667,1,14,15,45,6,0,25,13,46,
174,Andre Drummond,277,227,8186,1566,2815,.556,3,11,.273,1563,2804,.557,.557,483,1265,.382,1318,2121,3439,165,321,461,402,871,3618,
175,Jared Dudley,644,244,15714,2000,4255,.470,679,1685,.403,1321,2570,.514,.550,810,1098,.738,701,1495,2196,1011,569,109,581,1139,5489,
176,Tim Duncan,1369,1367,46810,10207,20169,.506,30,168,.179,10177,20001,.509,.507,5863,8416,.697,3810,11120,14930,4177,1011,2994,3355,3268,26307,
177,Mike Dunleavy,905,555,25837,3770,8532,.442,1215,3232,.376,2555,5300,.482,.513,1811,2253,.804,672,3343,4015,2099,691,307,1317,1859,10566,
178,Kevin Durant,615,615,23294,5649,11706,.483,1069,2812,.380,4580,8894,.515,.528,4449,5046,.882,495,3804,4299,2209,750,610,1976,1156,16816,
179,Cleanthony Early,49,7,681,79,220,.359,23,88,.261,56,132,.424,.411,36,48,.750,22,77,99,37,25,13,41,60,217,
180,Devin Ebanks,63,15,711,82,213,.385,8,36,.222,74,177,.418,.404,52,72,.722,51,71,122,24,18,12,35,56,224,
181,Jarell Eddie,14,0,79,13,38,.342,12,32,.375,1,6,.167,.500,4,4,1.000,1,12,13,2,2,1,1,3,42,
182,Shane Edwards,2,0,12,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,1,2,0,0,0,1,1,2,
183,Wayne Ellington,430,90,8341,1151,2790,.413,416,1108,.375,735,1682,.437,.487,303,359,.844,148,752,900,455,200,28,304,455,3021,
184,Monta Ellis,731,652,26066,5334,11784,.453,659,2109,.312,4675,9675,.483,.481,2516,3255,.773,481,2078,2559,3494,1278,243,2055,1736,13843,
185,Melvin Ely,375,55,6005,783,1702,.460,0,3,.000,783,1699,.461,.460,426,682,.625,448,767,1215,261,99,209,392,765,1992,
186,Kim English,41,0,407,42,112,.375,14,50,.280,28,62,.452,.438,21,29,.724,8,29,37,26,16,3,19,46,119,
187,James Ennis,72,3,1086,104,255,.408,33,100,.330,71,155,.458,.473,84,102,.824,53,128,181,51,28,19,41,91,325,
188,Tyler Ennis,57,6,619,76,204,.373,16,57,.281,60,147,.408,.412,14,19,.737,10,49,59,97,24,6,56,59,182,
189,Jeremy Evans,248,9,2618,362,638,.567,5,25,.200,357,613,.582,.571,145,211,.687,238,402,640,107,90,121,84,290,874,
190,Reggie Evans,809,372,15572,1107,2379,.465,1,11,.091,1106,2368,.467,.466,1074,2036,.528,1984,3781,5765,458,566,115,897,1895,3289,
191,Tyreke Evans,433,370,14445,2737,6139,.446,267,928,.288,2470,5211,.474,.468,1479,1954,.757,410,1707,2117,2293,584,178,1193,1035,7220,
192,Dante Exum,82,41,1817,145,416,.349,83,264,.314,62,152,.408,.448,20,32,.625,27,104,131,198,41,14,118,147,393,
193,Festus Ezeli,164,59,2334,267,518,.515,0,0,,267,518,.515,.515,158,283,.558,284,418,702,62,47,165,131,326,692,
194,Kenneth Faried,328,312,8785,1627,2997,.543,1,12,.083,1626,2985,.545,.543,770,1195,.644,1045,1809,2854,354,268,301,487,877,4025,
